type,class,name,filename,err,id,h,r1,r2,thick,res,rim,flat,dent,enclosed,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12
bottle-gen,,w5edel,0001_bottle-gen_w5edel_175x035x020-04,,1,175,35,20,0.4,5,0,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0002_bottle-gen_w5edel-rim_175x035x020-04,,2,175,35,20,0.4,5,1,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,smoothie,0003_bottle-gen_smoothie_150x022x022-05,,1,150,22,22,0.5,5,0,0,0,0,0.6,-0.15,0.25,0.2,0,0,0,0,0.05,0.8,0.01,0
bottle-gen,,smoothie-rim,0004_bottle-gen_smoothie-rim_150x022x022-05,,2,150,22,22,0.5,5,1,0,0,0,0.6,-0.15,0.25,0.2,0,0,0,0,0.05,0.8,0.01,0
bottle-gen,,cien-rim,0005_bottle-gen_cien-rim_135x035x020-05,,1,135,35,20,0.5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2
bottle-gen,,isana-rim,0006_bottle-gen_isana-rim_135x035x020-05,,1,135,35,20,0.5,5,1,0,0,0,0.3,0,0.6,0.175,0.1,0,0,0,0,0,0,0
bottle-gen,,elliptic,0007_bottle-gen_elliptic_135x035x1.750000e+01-06,,1,135,35,17.5,0.6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bottle-gen,,elliptic-rim,0008_bottle-gen_elliptic-rim_135x035x1.750000e+01-06,,2,135,35,17.5,0.6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bottle-gen,,soap-rim,0009_bottle-gen_soap-rim_120x035x027-05,,1,120,35,27,0.5,5,1,0,0,0,0.7,0,0,0,0,0,0,0,0.08,0.4,0.1,0
bowl,cleaner,cupbl,0010_bowl_cupbl_085x035x035-06,,1,85,35,35,0.6,5,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
bowl,cleaner,cupbl-rim,0011_bowl_cupbl-rim_085x035x035-06,,2,85,35,35,0.6,5,7,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
bottle-gen,,bottle-dent,0012_bottle-gen_bottle-dent_135x030x030-05,,1,135,30,30,0.5,5,0,0,0.5,0,0.775,0,0,0,0,0,0,0,0.1,0.4,0,0
bottle-gen,,bottle-dent-rim,0013_bottle-gen_bottle-dent-rim_135x030x030-05,,2,135,30,30,0.5,5,1,0,0.5,0,0.775,0,0,0,0,0,0,0,0.1,0.4,0,0
bowl,,palmol,0014_bowl_palmol_140x035x015-05,,1,140,35,15,0.5,5,0,0,0,0,0.675,0.4,0,0,0,0,0,0,0,0,0,0
bowl,,palmol-rim,0015_bowl_palmol-rim_140x035x015-05,,2,140,35,15,0.5,5,1,0,0,0,0.675,0.4,0,0,0,0,0,0,0,0,0,0
bowl,,cylindric,0016_bowl_cylindric_150x035x035-05,,1,150,35,35,0.5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bowl,,cylindric-rim,0017_bowl_cylindric-rim_150x035x035-05,,2,150,35,35,0.5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bowl,,conicdec,0018_bowl_conicdec_160x015x015-05,,1,160,15,15,0.5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
bowl,,conicdec-rim,0019_bowl_conicdec-rim_160x015x015-05,,2,160,15,15,0.5,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
bowl,,conicinc,0020_bowl_conicinc_160x015x015-05,,1,160,15,15,0.5,5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
bowl,,conicinc-rim,0021_bowl_conicinc-rim_160x015x015-05,,2,160,15,15,0.5,5,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
bottle-gen,bottles,bottle,0022_bottle-gen_bottle_200x030x030-06,,1,200,30,30,0.65,5,0,0,0,0,0.675,0,0,0,0,0,0,0,0.05,0.3,0.25,0
bottle-gen,bottles,bottle-rim,0023_bottle-gen_bottle-rim_200x030x030-06,,2,200,30,30,0.65,5,1,0,0,0,0.675,0,0,0,0,0,0,0,0.05,0.3,0.25,0
bottle-gen,,w5edel-encl,0024_bottle-gen_w5edel-encl_175x035x020-04,,1,175,35,20,0.4,5,0,0,0,1,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim-encl,0025_bottle-gen_w5edel-rim-encl_175x035x020-04,,2,175,35,20,0.4,5,1,0,0,1,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,smoothie-encl,0026_bottle-gen_smoothie-encl_150x022x022-05,,1,150,22,22,0.5,5,0,0,0,1,0.6,-0.15,0.25,0.2,0,0,0,0,0.05,0.8,0.01,0
bottle-gen,,smoothie-rim-encl,0027_bottle-gen_smoothie-rim-encl_150x022x022-05,,2,150,22,22,0.5,5,1,0,0,1,0.6,-0.15,0.25,0.2,0,0,0,0,0.05,0.8,0.01,0
bottle-gen,,cien-rim-encl,0028_bottle-gen_cien-rim-encl_135x035x020-05,,1,135,35,20,0.5,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2
bowl,,palmol-encl,0029_bowl_palmol-encl_140x035x015-05,,1,140,35,15,0.5,5,0,0,0,1,0.675,0.4,0,0,0,0,0,0,0,0,0,0
bowl,,palmol-rim-encl,0030_bowl_palmol-rim-encl_140x035x015-05,,2,140,35,15,0.5,5,1,0,0,1,0.675,0.4,0,0,0,0,0,0,0,0,0,0
