type,class,name,filename,err,id,h,r1,r2,thick,res,rim,flat,dent,enclosed,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12
bottle-gen,,w5edel,0001_bottle-gen_w5edel_150x030x020-03,"",1,150,30,20,0.3,5,0,0,0,0,0.6,-0.25,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0002_bottle-gen_w5edel-rim_150x030x020-03,"",2,150,30,20,0.3,5,1,0,0,0,0.6,-0.25,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0003_bottle-gen_w5edel_150x030x020-03,"",3,150,30,20,0.3,5,0,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0004_bottle-gen_w5edel-rim_150x030x020-03,"",4,150,30,20,0.3,5,1,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0005_bottle-gen_w5edel_150x030x020-03,"",5,150,30,20,0.3,5,0,0,0,0,0.6,-0.15,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0006_bottle-gen_w5edel-rim_150x030x020-03,"",6,150,30,20,0.3,5,1,0,0,0,0.6,-0.15,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0007_bottle-gen_w5edel_150x030x020-04,"",7,150,30,20,0.4,5,0,0,0,0,0.6,-0.25,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0008_bottle-gen_w5edel-rim_150x030x020-04,"",8,150,30,20,0.4,5,1,0,0,0,0.6,-0.25,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0009_bottle-gen_w5edel_150x030x020-04,"",9,150,30,20,0.4,5,0,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0010_bottle-gen_w5edel-rim_150x030x020-04,"",10,150,30,20,0.4,5,1,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0011_bottle-gen_w5edel_150x030x020-04,"",11,150,30,20,0.4,5,0,0,0,0,0.6,-0.15,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0012_bottle-gen_w5edel-rim_150x030x020-04,"",12,150,30,20,0.4,5,1,0,0,0,0.6,-0.15,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0013_bottle-gen_w5edel_150x030x020-05,"",13,150,30,20,0.5,5,0,0,0,0,0.6,-0.25,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0014_bottle-gen_w5edel-rim_150x030x020-05,"",14,150,30,20,0.5,5,1,0,0,0,0.6,-0.25,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0015_bottle-gen_w5edel_150x030x020-05,"",15,150,30,20,0.5,5,0,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0016_bottle-gen_w5edel-rim_150x030x020-05,"",16,150,30,20,0.5,5,1,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0017_bottle-gen_w5edel_150x030x020-05,"",17,150,30,20,0.5,5,0,0,0,0,0.6,-0.15,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0018_bottle-gen_w5edel-rim_150x030x020-05,"",18,150,30,20,0.5,5,1,0,0,0,0.6,-0.15,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0019_bottle-gen_w5edel_150x035x020-03,"",19,150,35,20,0.3,5,0,0,0,0,0.6,-0.25,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0020_bottle-gen_w5edel-rim_150x035x020-03,"",20,150,35,20,0.3,5,1,0,0,0,0.6,-0.25,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0021_bottle-gen_w5edel_150x035x020-03,"",21,150,35,20,0.3,5,0,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0022_bottle-gen_w5edel-rim_150x035x020-03,"",22,150,35,20,0.3,5,1,0,0,0,0.6,-0.2,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel,0023_bottle-gen_w5edel_150x035x020-03,"",23,150,35,20,0.3,5,0,0,0,0,0.6,-0.15,0,0,0,0,0,0,0.1,0.4,0.1,0
bottle-gen,,w5edel-rim,0024_bottle-gen_w5edel-rim_150x035x020-03,"",24,150,35,20,0.3,5,1,0,0,0,0.6,-0.15,0,0,0,0,0,0,0.1,0.4,0.1,0
